,retail_name,retail_state,snap,wic,alcohol,pharmacy,any_tob_sld,str_typ,year,can_surveyD,storelistmatch,c_any_str_typ,c_any_tob_sld,retail_st_geo,str_typ1,Convenience store with or without gas,Drug store or pharmacy ,"Beer, wine, liquor store",Mass merchandiser,Grocery store ,Other store type not listed,Tobacco Hookah ECig
13195,delta snack shack,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,1,1,,Ohio,Convenience,0.008550518740068623,0.0,0.0017173157779349745,0.0,0.0018010399901246716,0.0037840536036341725,0.004265717517260805
13196,harpers point shell,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,1,1,,Ohio,Convenience,0.01117752269054978,0.0,0.003023378691647016,0.0,0.0035218162699647317,0.006111627811758172,0.003244188122679146
13197,harvest drive thru,OH,,,,0.0,,Convenience store with or without gas,2016.0,0.0,1,1,,Ohio,Convenience,0.01199596298103863,0.0,0.018218780917581088,0.0,0.004017149500858767,0.012032008847009446,0.0
13198,johnny's puff n' stuff,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,1,1,,Ohio,Convenience,0.0072110953668874135,0.0,0.0016829736174169177,0.0,0.0,0.002947081159453307,0.009485639637045623
13199,kellogg ave shell,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,1,1,,Ohio,Convenience,0.01150385335870032,0.0,0.003434631555869949,0.0,0.0030789385573934147,0.0,0.0
13200,kroger,OH,,,,1.0,,Grocery store ,2016.0,1.0,1,1,,Ohio,Grocery,0.012968126539152927,0.0,0.0,0.019922238712364215,0.04185771486776705,0.0,0.013124184473967826
13201,kroger,OH,,,,1.0,,Grocery store ,2016.0,1.0,1,1,,Ohio,Grocery,0.012968126539152927,0.0,0.0,0.019922238712364215,0.04185771486776705,0.0,0.013124184473967826
13202,kroger,OH,,,,1.0,,Grocery store ,2016.0,1.0,1,1,,Ohio,Grocery,0.012968126539152927,0.0,0.0,0.019922238712364215,0.04185771486776705,0.0,0.013124184473967826
13203,kroger,OH,,,,1.0,,Grocery store ,2016.0,1.0,1,1,,Ohio,Grocery,0.012968126539152927,0.0,0.0,0.019922238712364215,0.04185771486776705,0.0,0.013124184473967826
13204,kroger ,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,1,1,,Ohio,Convenience,0.012968126539152927,0.0,0.0,0.019922238712364215,0.04185771486776705,0.0,0.013124184473967826
13205,madeira beverage,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,1,1,,Ohio,Convenience,0.0110988001016339,0.0,0.012541855235218323,0.005120731800145631,0.005378817766549298,0.006354970504037151,0.003373387386685379
13206,madeira food mart,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,1,1,,Ohio,Convenience,0.014053184578316677,0.015582402663711336,0.009219469431415085,0.019829688871711798,0.015279131050868292,0.0105045139758653,0.007005574467376322
13207,mechu mini mart,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,1,1,,Ohio,Convenience,0.01288200589799777,0.009024994045759344,0.009154447329148474,0.010754368603254523,0.01081220482205846,0.010001075235727684,0.0069548727319183245
