ID,lat,long
183,36.030727,-78.89057
184,36.00341,-78.89295
185,36.00341,-78.89295
186,36.0306,-78.89056
187,36.0306,-78.89056
188,35.98725,-78.887955
189,35.95734,-78.853325
190,36.035828,-78.89373
191,35.983826,-78.889626
192,35.983826,-78.889626
193,36.00835,-78.9002
194,36.0038,-78.89841
195,36.036892,-78.895744
196,35.948257,-78.83764
197,35.948257,-78.83764
198,35.98102,-78.89103
199,36.037037,-78.89645
200,36.005478,-78.90143
201,35.978252,-78.888535
202,35.98098,-78.89105
203,35.98098,-78.89105
204,36.004627,-78.90254
205,36.004627,-78.90254
206,35.945316,-78.83799
207,35.98475,-78.89904
208,35.99696,-78.90432
209,35.990078,-78.9031
210,36.041542,-78.900116
211,35.999588,-78.906494
212,35.992107,-78.905
213,36.01692,-78.90899
214,36.01692,-78.90899
215,36.01692,-78.90899
216,35.998985,-78.90752
217,35.97068,-78.89398
218,36.164993,-78.87778
219,36.217594,-78.92592
220,36.217594,-78.92592
221,36.21649,-78.92524
222,36.12475,-78.94052
223,36.12475,-78.94052
224,36.12475,-78.94052
225,36.140804,-78.953316
226,36.221935,-78.92785
227,36.140804,-78.953316
228,36.10152,-78.91024
229,36.07649,-78.9098
230,36.077312,-78.91052
231,36.082897,-78.931465
232,36.059246,-78.90318
233,36.054928,-78.90327
234,36.05489,-78.903244
235,36.05425,-78.90321
236,36.054253,-78.90322
237,36.05133,-78.90532
238,36.056488,-78.92924
239,36.049526,-78.9058
240,36.03927,-78.87433
241,36.037766,-78.874794
242,36.037766,-78.874794
243,36.035828,-78.89373
244,36.036892,-78.895744
245,36.03626,-78.888275
246,36.036842,-78.82291
247,36.030727,-78.89057
248,36.035683,-78.92934
249,36.02684,-78.87095
250,36.03152,-78.84111
251,36.029564,-78.839836
252,36.025608,-78.850174
253,36.030754,-78.92806
254,36.029987,-78.92197
255,36.028286,-78.91788
256,36.028286,-78.919464
257,36.029587,-78.92665
258,36.029587,-78.92665
259,36.041542,-78.900116
260,36.03927,-78.87433
261,36.003647,-78.87954
262,36.037766,-78.874794
263,36.037766,-78.874794
264,36.035828,-78.89373
265,36.036892,-78.895744
266,36.04509,-78.81527
267,36.03626,-78.888275
268,36.037037,-78.89645
269,36.036842,-78.82291
270,36.030727,-78.89057
271,36.037937,-78.92954
272,36.037937,-78.92954
273,36.0306,-78.89056
274,36.0306,-78.89056
275,36.035683,-78.92934
276,36.029564,-78.839836
277,36.02684,-78.87095
278,36.03152,-78.84111
279,36.029564,-78.839836
280,36.031876,-78.928856
281,36.025608,-78.850174
282,36.025608,-78.850174
283,36.02759,-78.91394
284,36.030754,-78.92806
285,36.04314,-78.96304
286,36.029987,-78.92197
287,36.028286,-78.91788
288,36.02961,-78.92666
289,36.02961,-78.92666
290,36.028286,-78.919464
291,36.029587,-78.92665
292,36.02951,-78.92654
293,36.02951,-78.92654
294,36.029587,-78.92665
295,36.029076,-78.928116
296,36.03373,-78.93567
297,36.033676,-78.93567
298,36.033676,-78.93567
299,36.019714,-78.887146
300,36.023487,-78.918724
301,36.022717,-78.91794
302,36.022655,-78.91786
303,36.022655,-78.91786
304,36.0187,-78.88999
305,35.976574,-78.79279
306,35.976574,-78.79279
307,35.97363,-78.79569
308,35.976963,-78.795166
309,35.976963,-78.795166
310,35.976505,-78.79326
311,35.98134,-78.82064
312,35.98134,-78.82064
313,35.981754,-78.822365
314,36.021904,-78.81067
315,36.021904,-78.81067
316,35.92358,-78.810814
317,36.013184,-78.824615
318,35.948257,-78.83764
319,35.965508,-78.84679
320,35.965508,-78.84679
321,35.95734,-78.853325
322,36.036842,-78.82291
323,35.92346,-78.84702
324,36.029564,-78.839836
325,36.03152,-78.84111
326,35.97389,-78.868
327,35.99488,-78.86521
328,36.025608,-78.850174
329,35.99235,-78.86884
330,35.99251,-78.869
331,35.99251,-78.869
332,35.99251,-78.869
333,36.005104,-78.86658
